Name,Address,BranchType,LayerType,WorkingTime,Latitude,Longitude,latitude,longitude
CN Kon Tum,"Số 1A, Đường Trần Phú, Phường Quyết Thắng, Thành phố Kon Tum, Kon Tum",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 7h00-11h00, chiều 13h00-16h45",14.346400260925293,108.00440216064453,,
CN Ba Đình,"Số 57, Đường Láng Hạ, Phường Thành Công, Quận Ba Đình, TP Hà Nội",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 7h30-11h30, Chiều 13h-17h00",21.01923942565918,105.81710052490234,,
CN Chợ Lớn,"Số 49, Đường Kinh Dương Vương, Phường 12, Quận 6, TP Hồ Chí Minh",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 7h30-11h30, Chiều 13h-17h00",10.752229690551758,106.63240051269531,,
CN Bắc Hà,"Tòa nhà VP Cty 789 - Số 147, Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, TP Hà Nội",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 7h30-11h30, Chiều 13h-17h00",21.046009063720703,105.79979705810547,,
CN Gia Lai,"Số 112, Đường Lê Lợi, Phường Hoa Lư, Thành phố Pleiku, Gia Lai",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 7h30-11h30, Chiều 13h-17h00",13.985650062561035,108.0072021484375,,
CN Cầu Giấy,"Số 263, Đường Cầu Giấy, Phường Dịch Vọng, Quận Cầu Giấy, TP Hà Nội",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 7h30-11h30, Chiều 13h-17h00",21.03430938720703,105.7957992553711,,
CN Bắc Ninh,"Số 01, Đường Nguyễn Đăng Đạo, Phường Suối Hoa, TP Bắc Ninh, Bắc Ninh",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 7h30-11h30, Chiều 13h-17h00",21.184799194335938,106.0687026977539,,
CN Đông Sài Gòn,"Số 23A và 25, Đường Đặng Văn Bi, Phường Trường Thọ, TP. Thủ Đức, TP Hồ Chí Minh",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 7h30-11h30, Chiều 13h00-16h30",10.840729713439941,106.76509857177734,,
CN Nam Gia Lai,"Số 117, Đường Trần Phú, Phường Diên Hồng, Thành phố Pleiku, Gia Lai",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 7h30-11h30, Chiều 13h-17h00",13.977190017700195,107.99510192871094,,
CN Đống Đa,"Số 71, Đường Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, TP Hà Nội",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 08h00-12h00, Chiều 13h-16h00",21.024080276489258,105.81099700927734,,
CN Đông Đô,"Số 27, Đường Trần Duy Hưng, Phường Trung Hoà, Quận Cầu Giấy, TP Hà Nội",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 7h30-11h30, Chiều 13h-17h00",21.013690948486328,105.80339813232422,,
CN Gia Định,"Lô L1-01 Lầu 1 và Lô L3-01 Lầu 3 Trung tâm Thương mại Vincom Plaza KĐT Saigonres, số 188, Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, TP Hồ Chí Minh",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 7h30-11h30, Chiều 13h-17h00",10.816619873046875,106.70700073242188,,
CN Đông Hà Nội,"Số 46, Đường Cao Lỗ, Tổ 2, Thị trấn Đông Anh, Huyện Đông Anh, TP Hà Nội",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 7h30-11h30, Chiều 13h-17h00",21.140600204467773,105.847900390625,,
CN Buôn Hồ,"Số 476, Đường Hùng Vương, Phường An Bình, Buôn Hồ, Đăk Lăk",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 7h15-11h30, Chiều 13h30-16h45",12.914649963378906,108.26570129394531,,
CN Đăk Lăk,"Số 17, Đường Nguyễn Tất Thành, Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đăk Lăk",Chi nhánh,Chi nhánh,"Thứ 2-6: Sáng 7h15-11h30, Chiều 13h30-17h00",12.686079978942871,108.05339813232422,,
