Name,Address,Latitude,Longitude
ATM CN Hòa Bình,"589 Cù Chính Lan, phường Phương Lâm, thành phố Hòa Bình, tỉnh Hòa Bình",20.818768,105.33905
ATM PGD Hóc Môn,"98/3 Bà Triệu, Thị trấn Hóc Môn, Huyện Hóc Môn, Thành Phố Hồ Chí Minh",10.886891,106.59624
ATM PGD Linh Đông,"226 Tô Ngọc Vân, Phường Linh Đông, Thành phố Thủ Đức, Thành Phố Hồ Chí Minh, Việt Nam",10.857462,106.74734
ATM PGD Dĩ An,"90 đường Dĩ An-Truông Tre, Khu Phố Bình Minh 2, Phường Dĩ An, Thành phố Dĩ An, Tỉnh Bình Dương, Việt Nam",10.895549,106.76107
ATM CN Nha Trang,"Tòa nhà Ariyana Smart Codotel, Số 18 Trần Hưng Đạo, Phường Lộc Thọ,Thành Phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam",12.244265,109.194595
ATM CN Sài Gòn,"22-24-26 Pasteur, Phường Nguyễn Thái Bình, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam",10.770164,106.70065
ATM Bệnh Viện Bưu Điện,"Lô B9 Thành Thái, Phường 15, Quận 10, Thành Phố Hồ Chí Minh, Việt Nam",10.780304,106.660385
ATM CN An Giang,"217 Lý Thái Tổ, Tổ 5, Khóm 7, Phường Mỹ Long, Thành Phố Long Xuyên, Tỉnh An Giang, Việt Nam",10.377935,105.44228
ATM CN Nghệ An,"39 Lê Hồng Phong, Phường Hưng Bình, Thành Phố Vinh, Tỉnh Nghệ An, Việt Nam",18.676464,105.67861
ATM CN Vũng Tàu,"63 Lê Hồng Phong, phường 7, Thành phố Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu, Việt Nam",10.356322,107.08321
ATM PGD Nam Kỳ Khởi Nghĩa,"215 Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",10.787988,106.68543
ATM PGD NGUYỄN SƠN,"238 Nguyễn Sơn, Phường Phú Thọ Hòa, Quận Tân Phú, Thành Phố Hồ Chí Minh, Việt Nam",10.782928,106.62462
