Name,Address,Phone,Latitude,Longitude
Hội Sở,"25 Bis Nguyễn Thị Minh Khai, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028)62915916  - Fax: (028)62915900,10.783459,106.69919
CN Sài Gòn,"22-24-26 Pasteur, Phường Nguyễn Thái Bình, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 38 299 344  - Fax:  (028) 38 299 371,10.770164,106.70065
PGD Nam Kỳ Khởi Nghĩa,"215 Nam Kỳ Khởi Nghĩa, Phường 7, Quận 3, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 39 322 736  - Fax: (028) 39 322 746,10.78796,106.685455
PGD Huỳnh Tấn Phát,"705 Huỳnh Tấn Phát, P. Phú Thuận, Quận 7, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 37 738 648  - Fax: (028) 37 738 646,10.736632,106.73065
PGD Phú Mỹ Hưng,"1485 Nguyễn Văn Linh, Khu Phố Mỹ Toàn 1, Phường Tân Phong, Quận 7, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 541 22 733  - Fax: (028) 541 22 735,10.728284,106.70206
PGD Khánh Hội,"173 Đường Khánh Hội, phường 3, Quận 4, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 39435 870  - Fax: (028) 39435 873,10.757228,106.70019
PGD Bình Điền (Công Lý cũ),"Sảnh văn phòng chợ Bình Điền, Đại lộ Nguyễn Văn Linh, Khu Phố 6, Phường 7, Quận 8, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 38424 432  - Fax: (028) 38424 432,10.699434,106.60687
CN Phú Nhuận,"174 Phan Đăng Lưu, Phường 3, Quận Phú Nhuận, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (0283) 628 6869  - Fax: (0283) 628 6869,10.800754,106.681694
PGD Tân Định,"156 đường Trần Quang Khải, Phường Tân Định, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028)38209485  - Fax: (028)38209480,10.792155,106.69042
PGD Lê Quang Định,"472 Đường Lê Quang Định, Phường 11, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, Việt Nam",Tel: (028) 35501 101  - Fax: (028) 35501 104,10.813779,106.68986
