Name,Address,Type,WorkingHour,Latitude,Longitude
ATM Sư đoàn 371,"Xã Tiên Dược, huyện Sóc Sơn, thành phố Hà Nội",,<p>Hoạt động 247</p>,21.2802127,105.844455
ATM Công ty Z17,"Xã Đông Xuân, huyện Sóc Sơn, Hà nội",,<p>Hoạt động 247</p>,21.212211,105.8694633
ATM Công ty Z153,"Xã Uy Nỗ, Thị trấn Đông Anh, huyện Đông Anh, Hà nội",,<p>Hoạt động 247</p>,21.1539387,105.8537939
CRM CN Đông Anh,"Tầng 1 Tòa nhà TTTM Cổ Loa, Tổ 3, TT Đông Anh, H. Đông Anh, HN",,<p>Hoạt động 247</p>,21.1175267,105.8435047
ATM Nhà máy Z25,"Xã Phú minh, huyện Sóc Sơn, Hà nội",,<p>Hoạt động 247</p>,21.2005195,105.8215436
CRM PGD Sóc Sơn,"Khu 1, khu 2 thị trấn Sóc Sơn, huyện Sóc Sơn, TP Hà Nội",,<p>Hoạt động 247</p>,21.2811761,105.7609044
ATM/CRM PGD Văn Phú,"Tòa nhà CT9, KĐT Văn Phú, phường Phú La, quận Hà Đông, Hà Nội",,<p>Hoạt động 247</p>,20.9605077,105.7608839
CRM PGD Xuân Mai,"Số 51,tổ 6, khu Xuân Hà, thị trấn Xuân Mai, huyện Chương Mỹ, Hà Nội",,<p>Hoạt động 247</p>,20.8990759,105.5751201
ATM Phòng Khám Bệnh viện 103,Viện Quân Y 103 - Phùng Hưng - Hà Đông - Hà Nội,,<p>Hoạt động 247</p>,20.955835,105.7563658
ATM Viện Quân y 110,"Viện Quân Y 110, đường Trần Lựu, phường Thị Cầu, TP Bắc Ninh, tỉnh Bắc Ninh",,<p>Hoạt động 247</p>,21.1970561,106.0901201
ATM/CRM CN Bắc Ninh,"Số 24 Lý Thái Tổ, phường Đại Phúc, thành phố Bắc Ninh, tỉnh Bắc Ninh",,<p>Hoạt động 247</p>,21.1773759510103,106.068789156257
CRM PGD Mạo Khê ,"số 195 Hoàng Hoa Thám, thị trấn Mạo Khê, huyện Đông Triều, Quảng Ninh",,<p>Hoạt động 247</p>,21.05539,106.60213
ATM Xí nghiệp Thắng lợi,"Xí nghiệp Thắng Lợi, Phước Thành, Tuy Phước, Bình Định",,<p>Hoạt động 247</p>,13.781567,109.112104
ATM Bộ Chỉ huy Quân sự Tỉnh Bình Định,"37 Ngô Mây, thành phố Quy Nhơn, tỉnh Bình Định",,<p>Hoạt động 247</p>,13.762101,109.218813
ATM bệnh viện Quân y 13,"Đường An Dương Vương, thành phố Quy Nhơn, tỉnh Bình Định",,<p>Hoạt động 247</p>,13.750144,109.214883
ATM Nhà máy may Phù Mỹ,"Đường Quang Trung, TT Phù Mỹ, huyện Phù Mỹ, tỉnh Bình ĐỊnh",,<p>Hoạt động 247</p>,14.161578,109.047082
ATM Bộ chỉ huy bộ đội biên phòng tỉnh Bình Định,"Bộ chỉ huy bộ đội biên phòng tỉnh Bình Định, số 99 Lý thường Kiệt, thành phố Quy Nhơn, tỉnh Bình Định",,<p>Hoạt động 247</p>,13.775968,109.223721
ATM Trung Đoàn Phòng Không Không Quân 925,"Trung Đoàn Phòng Không Không Quân 925, huyện Phù Cát, tỉnh Bình Định",,<p>Hoạt động 247</p>,13.947007,109.060297
CRM PGD Diêu Trì,"Số 50-52 Lạc Long Quân, phường Trần Quang Diệu, thành phố Quy Nhơn, tỉnh Bình Định",,<p>Hoạt động 247</p>,13.796238,109.147490
ATM Phú Tài Building,"278 Nguyễn Thị Định, TP Quy Nhơn, tỉnh Bình Định",,,13.7574735,109.2140314
