Name,Address,isCDM,District,Province,Latitude,Longitude
ATM Techcombank Đỉnh Núi Bà Nà Hill,"Khu đài phu nước trung tâm tại đỉnh núi Bà Nà Hill, X. Hòa Ninh, H. Hòa Vang, TP. Đà Nẵng",False,Hòa Vang,Đà Nẵng,15.9966890942255,107.988897306583
ATM Techcombank Tổng CTY Cổ Phần Dệt May Hòa Thọ,"36 Ông Ích Đường, P. Hòa Thọ Đông, Q. Cẩm Lệ, TP. Đà Nẵng",False,Cẩm Lệ,Đà Nẵng,16.021285254989,108.202620160115
ATM Techcombank CTY Tài Chính Dầu Khí Đà Nẵng 1,"Lô A2.1, đường 30/4, P. Hoà Cường Bắc, Q. Hải Châu, TP. Đà Nẵng",False,Hải Châu,Đà Nẵng,16.040946466551,108.220758161465
ATM Techcombank Vinpearl Nam Hội An,"Khu vui chơi Vinpearl Nam Hội An, Tổ 6, Khối Phước Hải, P. Cửa Đại, TP. Hội An, Tỉnh Quảng Nam",False,Hội An,Quảng Nam,15.7866540818338,108.407675089524
ATM Techcombank CTY Tài Chính Dầu Khí Đà Nẵng 2,"Lô A2.1, đường 30/4, P. Hoà Cường Bắc, Q. Hải Châu, TP. Đà Nẵng",False,Hải Châu,Đà Nẵng,16.040946466551,108.220758161465
ATM Techcombank Khách Sạn Vinpearl Nam Hội An,"Tổ 6, Khối Phước Hải, P. Cửa Đại, TP. Hội An, Tỉnh Quảng Nam",False,Hội An,Quảng Nam,15.7941377684763,108.419439105954
ATM Techcombank Vinpearl Đà Nẵng,"7 Trường Sa, P. Hòa Hải, Q. Ngũ Hành Sơn, TP. Đà Nẵng",False,Ngũ Hành Sơn,Đà Nẵng,16.0055932110791,108.266398849999
ATM Techcombank CTY Foster Đà Nẵng,"Đường số 9, KCN Hòa Cầm, P. Hoà Thọ Tây, Q. Cẩm Lệ, TP. Đà Nẵng",False,Cẩm Lệ,Đà Nẵng,16.008300567736,108.178783234498
ATM Techcombank Khách Sạn Eden Đà Nẵng,"5-7 Duy Tân, P. Hoà Cường Bắc, Q. Hải Châu, TP. Đà Nẵng",False,Hải Châu,Đà Nẵng,16.0486071077067,108.216362513349
ATM Techcombank CTY Dệt May 29/3,"60 Mẹ Nhu, P. Thanh Khê Tây, Q. Thanh Khê, TP. Đà Nẵng",False,Thanh Khê,Đà Nẵng,16.0669283843934,108.179165440043
ATM Techcombank Khách Sạn New Blue Snow,"Lô G Phạm Văn Đồng, P. An Hải Bắc, Q. Sơn Trà, TP.Đà Nẵng",False,Sơn Trà,Đà Nẵng,16.0724902755182,108.233186081035
ATM Techcombank Viện Kiểm Sát Nhân Dân Tối Cao Đà Nẵng,"4 Lý Tự Trọng, P. Thạch Thang, Q. Hải Châu, TP. Đà Nẵng",False,Hải Châu,Đà Nẵng,16.0778881250614,108.222392008471
ATM Techcombank KCN Hòa Cầm 1,"Đường số 2, KCN Hòa Cầm, P. Hòa Thọ Tây, Q. Cẩm Lệ, TP. Đà Nẵng",False,Cẩm Lệ,Đà Nẵng,16.0065615526733,108.176734624592
ATM Techcombank KCN Hòa Cầm 2,"Đường số 2, KCN Hòa Cầm, P. Hòa Thọ Tây, Q. Cẩm Lệ, TP. Đà Nẵng",False,Cẩm Lệ,Đà Nẵng,16.0065615526733,108.176734624592
ATM Techcombank CTY Dệt May Thọ Hòa Quảng Nam,"X. Điện Thắng, H. Điện Bàn, Tỉnh Quảng Nam",False,Điện Bàn,Quảng Nam,15.9385300407657,108.223766574999
