Name,Tag,Address,Phone,Latitude,Longitude
Chung cư HAGL1,ATM-24/7,"357 Lê Văn Lương, Q7, TPTP Hồ Chí Minh",null,10.7407322,106.704253
VPBank Nha Trang CDM,ATM-24/7,"26 YERSIN, Nha Trang, Khánh Hòa",null,12.2495601,109.1894298
Công ty Xi măng Sài Sơn,ATM,"Thôn Nam Sơn, xã Nam Phương Tiến, huyện Chương Mỹ, Hà Nội",null,20.51240,105.35313
VPBank Phú Lâm CDM,ATM-24/7,"122 Kinh Dương Vương, Q6, TP Hồ Chí Minh",null,10.7500747,106.6290527
VPBank Nha Trang,ATM-24/7,"26 YERSIN, Nha Trang, Khánh Hòa",null,12.2495601,109.1894298
VPBank Yên Hòa CDM,ATM-24/7,"Tầng 1- Chung cư CC3 Khu đô thị Yên Hòa, Cầu Giấy, Hà Nội",null,21.0220587,105.7877078
VPBank Phú Lâm,ATM-24/7,"122 Kinh Dương Vương, Q6, TP Hồ Chí Minh",null,10.7500747,106.6290527
VPBank Gia Lâm CDM,ATM-24/7,"Số 01S02 và 01S8A, ô đất B3-CT04, tòa S1.09 (L26M-2) dự án KĐT Gia Lâm - Vinhomes Ocean Park, xã Đa Tốn, huyện Gia Lâm, Hà Nội",null,20.995071,105.944054
VPBank Trung Kính CDM,ATM-24/7,"219 Trung Kính, phường Yên Hòa, quận Cầu Giấy, Hà Nội",null,34.047863,100.6196553
VPBank Phan Huy Ích CDM,ATM-24/7,"242 Phan Huy Ích, Q.Gò Vấp, TP Hồ Chí Minh",null,10.83667,106.636
VPBank Hóc Môn CDM,ATM-24/7,"39/13 Lê Thị Hà, khu phố 8, Thị trấn Hóc Môn, huyện Hóc Môn, TP Hồ Chí Minh",null,10.8860775,106.5983504
VPBank Vũ Trọng Phụng CDM,ATM-24/7,"Số 1 Nguyễn Huy Tưởng, phường Thanh Xuân Trung, quận Thanh Xuân, Hà Nội",null,20.9998712,105.8077351
VPBank Phan Huy ích,ATM-24/7,"242 Phan Huy Ích, Q.Gò Vấp, TP Hồ Chí Minh",null,10.83667,106.636
VPBank Sóc Trăng,ATM-24/7,"38-40-40A Trần Hưng Đạo, Khóm 2, Phường 2, Thành Phố Sóc Trăng, Tỉnh Sóc Trăng",null,9.595227,105.969894
Chợ Sóc Trăng CDM,ATM-24/7,"10 Nguyễn Văn Trỗi, Khóm 1, Phường 1, TP.Sóc Trăng, Tỉnh Sóc Trăng",null,9.604890,105.975743
VPBank Chợ lớn CDM,ATM-24/7,"57 Trần Bình - 54 Tháp Mười, Q.6, TP Hồ Chí Minh",null,10.749322,106.6510784
VPBank Hòa Thành CDM,ATM-24/7,"01-03 Trương Quyền, Phường Long Hoa, Thị Xã Hoà Thành, Tỉnh Tây Ninh",null,11.282163,106.12902
VPBank Bình Phú CDM,ATM-24/7,"56 Bình Phú, P11, Q.6, TP Hồ Chí Minh",null,10.7465149,106.6313125
VPBank Sơn La CDM,ATM-24/7,"Số 21 đường Trường Chinh, Phường Quyết Thắng, Thành phố Sơn La, Tỉnh Sơn La.",null,21.32609,103.91495
Công ty CPXNK 3-2 Hòa Bình,ATM-24/7,"Số 14 An Dương Vương, phường Chăm Mát, thành phố Hòa Bình, tỉnh Hòa Bình",null,20.7853881,105.3357993
VPBank Hoa Lư CDM,ATM-24/7,"925 Đại Cồ Việt, thị trấn Thiên Tôn, huyện Hoa Lư, tỉnh Ninh Bình",null,20.299194,105.952733
