name,address,tel,lat,lng,mon,tue,wed,thu,fri,sat,sun,services
New World,"Góc đường Phạm Hồng Thái và Nguyễn Thị Nghĩa, 76 Le Lai, Quận 1, Tp. Hồ Chí Minh",+842838237952,10.77139289,106.6938939,6:30 - 00:00,6:30 - 00:00,6:30 - 00:00,6:30 - 00:00,6:30 - 00:00,6:30 - 00:00,6:30 - 00:00,"24HourService, driveThru, starbucksReserve, wiFi, communityRoom, mobileOrderandPay"
Phan Xích Long,"214 -216 Phan Xích Long, Quận Phú Nhuận, Tp. Hồ Chí Minh",+842835176461,10.79761297,106.6898552,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"driveThru, wiFi, mobileOrderandPay"
Panorama,"SN-44, Tòa Nhà Panorama, 208 Trần Văn Trà, Quận 7, Tp. Hồ Chí Minh",+842854138292,10.72148222,106.7139119,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,"wiFi, mobileOrderandPay"
Pandora,"1/1 Trường Chinh, Quận Tân Phú, Tp. Hồ Chí Minh",+842838126830,10.80678678,106.6344309,8:00 - 21:00,8:00 - 21:00,8:00 - 21:00,8:00 - 21:00,8:00 - 21:00,8:00 - 21:00,8:00 - 21:00,"wiFi, mobileOrderandPay"
VivoCity,"1058 Nguyễn Văn Linh, Quận 7, Tp. Hồ Chí Minh",+842837714975,10.7299209,106.7038355,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Thảo Điền,"21 Thảo Điền, Quận 2, Tp. Hồ Chí Minh",+842837442040,10.80350356,106.7376093,6:00 - 21:30,6:00 - 21:30,6:00 - 21:30,6:00 - 21:30,6:00 - 21:30,6:00 - 21:30,6:00 - 21:30,"wiFi, mobileOrderandPay"
Kumho,"39 Lê Duẩn, Quận 1, Tp. Hồ Chí Minh",+842838234990,10.7814801,106.7003697,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Nguyễn Huệ,"99 Nguyễn Huệ, Quận 1, Tp. Hồ Chí Minh",+842838210105,10.77361239,106.7039837,6:30 - 22:30,6:30 - 22:30,6:30 - 22:30,6:30 - 22:30,6:30 - 23:00,7:00 - 23:00,7:00 - 23:00,"wiFi, mobileOrderandPay"
Emart,"168 Phan Văn Trị, Quận Gò Vấp, Tp. Hồ Chí Minh",+842835880146,10.82389562,106.6930127,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,7:30 - 22:00,"wiFi, mobileOrderandPay"
Lakai,"98-126 Nguyễn Tri Phương, Quận 5, Tp. Hồ Chí Minh",+842839241251,10.75412054,106.6696617,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Sân bay Tân Sơn Nhất,"A2, Tầng trệt, Khu vực thương mại Nhà giữ xe Ga Quốc Nội, Sân bay Tân Sơn Nhất, 45 Trường Sơn, Tân Bình, Tp. Hồ Chí Minh",+842836209020,10.81343136,106.6630572,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,6:00 - 22:00,"wiFi, mobileOrderandPay"
Nguyễn Văn Trỗi,"66 Nguyễn Văn Trỗi, Quận Phú Nhuận, Tp. Hồ Chí Minh",+842838422171,10.79517847,106.6771371,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
The Vista,"Tầng trệt, TTTM The Oxygen, 628 Xa Lộ Hà Nội, Quận 2, Tp. Hồ Chí Minh",+842862814546,10.81110509,106.7529328,6:30 - 21:30,6:30 - 21:30,6:30 - 21:30,6:30 - 21:30,6:30 - 21:30,6:30 - 21:30,6:30 - 21:30,"wiFi, mobileOrderandPay"
Leman Building,"117 Nguyễn Đình Chiểu, Quận 3, Tp. Hồ Chí Minh",+842839301092,10.77801887,106.6898743,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30, 7:00 - 21:30, 7:00 - 21:30, 7:00 - 21:30, 7:00 - 21:30,"wiFi, mobileOrderandPay"
Ibis building,"2 Hồng Hà, Phường 2, Quận Tân Bình, Tp. Hồ Chí Minh",+842838486030,10.81347567,106.6661139,6:30 - 21:00,6:30 - 21:00,6:30 - 21:00,6:30 - 21:00,6:30 - 21:00,6:30 - 21:00,6:30 - 21:00,"wiFi, mobileOrderandPay"
CMT8,"241Bis Cách Mạng Tháng Tám, Quận 3, Tp. Hồ Chí Minh",+842839291221,10.77680338,106.6837443,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,7:00 - 21:30,"wiFi, mobileOrderandPay"
Vạn Hạnh Mall,"Vạn Hạnh Mall, 11 Sư Vạn Hạnh, Quận 10, Tp. Hồ Chí Minh",+842836365485,10.77047995,106.6700222,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Crescent Strip,"CR1-02, Crescent Residence 1, 103 Tôn Dật Tien, Quận 7, Tp. Hồ Chí Minh",+842866806191,10.72818033,106.7184276,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Estella,"Estella Place, 88 Song Hành, Phường An Phú, Quận 2, Tp. Hồ Chí Minh",+842836367424,10.80209032,106.7485472,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,
Riverpark,"Riverpark Premier, 31 Đặng Đức Thuật, Quận 7, Tp. Hồ Chí Minh",(028) 5411 7329,10.72530882,106.7081904,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,7:00 - 22:00,"wiFi, mobileOrderandPay"
Landmark 81,"L1-26, Tầng trệt, Landmark 81, 772 Điện Biên Phủ, Phường 22, Quận Bình Thạnh, Tp. Hồ Chí Minh",+842836369858,10.79525289,106.7221081,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,6:30 - 22:00,"wiFi, mobileOrderandPay"
Vincom Đồng Khởi,"Đồng Khởi, Quận 1, Tp. Hồ Chí Minh",+842839390058,10.77808953,106.7021276,8:30 - 22:00,8:30 - 22:00,8:30 - 22:00,8:30 - 22:00,8:30 - 22:00,9:30 - 22:00,9:30 - 22:00,"wiFi, mobileOrderandPay"
Gateway Thảo Điền,"Gateway Thảo Điền, 177 Xa Lộ Hà Nội, Khu Phố 1, Quận 2, Tp. Hồ Chí Minh",+842836369894,10.80373488,106.7462144,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,"wiFi, mobileOrderandPay"
